1.jpg	"A certificate from the Central Board of Film Certification of the Government of India is displayed. It includes details such as the certificate number, the film title ""DAJARO MASTANI,"" the rating ""31 U,"" and the duration ""150 min."" The certificate is valid for theatrical release only and lists the examining committee members. The application also mentions the names of the applicant, Bhansali Productions, Mumbai, and the producer, Bhansali Productions India."
1136.jpg	A group of soldiers in period attire are positioned near large cannons at dusk. The scene is illuminated by torches, casting a warm glow against the darkening sky. The landscape in the background features rolling hills, adding to the historical or epic atmosphere. The soldiers appear to be preparing for or engaged in a military operation.
1255.jpg	A warrior clad in dark armor and a helmet stands prominently in the foreground, brandishing a curved sword aloft. The scene is set against a dark, ominous sky, with several other armored figures visible in the background, some holdingning spears. The overall atmosphere is tense and foreboding, suggesting an impending battle or significant confrontation.
1354.jpg	A knight in full armor, including a chainmail coif and a helmet with a visor, raises a hand holdinging a small, round object. The background is blurred, suggesting a battlefield or a war-torn scene, with indistinct figures and structures. The lighting is dim and moody, emphasizing the knight's focused and determined expression.
1458.jpg	A warrior stands in the foreground, clad in armor with a helmet and a tunic, looking resolute. The background is filled with a large, blurred crowd, suggesting a gathering or battle scene. The lighting is dim, with a dark, moody atmosphere, and distant mountains are faintly visible in the background.
1655.jpg	A woman with long hair and a nose ring embraces a man from behind, her hand resting on his shoulder. She wears a white garment with intricate designs. The background is softly blurred, featuring ornate architectural details, suggesting an indoor setting with warm, muted lighting.
1850.jpg	A woman dressed in traditional white attire, adorned with jewelry, is performing a graceful dance. She is wearing a headscarf and a necklace, and her hands are decorated with bangles. The background features ornate, golden designs and numerous small candles, creating a warm and festive atmosphere. Two decorative fountains with cascading water are positioned on either side of the scene.
2058.jpg	A man with a beard and mustache, wearing a white shirt, is shown in a dimly lit environment. His expression is serious and focused, and he has a small earring in his right ear. The background is dark and blurred, suggesting an indoor setting with minimal lighting.
2296.jpg	A majestic elephant adorned with ornate decorations and a rider in traditional attire gallops through a vibrant street. The elephant is covered in colorful fabrics and embellishments, and the rider is dressed in a richly decorated costume, holding a weapon. The street is lined with people, many of whom are wearing traditional turbanss and white garments, watching the procession. The background features traditional architecture, and the atmosphere is festive, with bright colors and a sense of celebration.
2447.jpg	A woman in traditional attire, adorned with jewelry and a headpiece, smiles warmly at a man in armor. The man, seen from behind, wears a detailed, patterned cloak and a helmet with a high collar. The background features an ornate, dimly lit interior with arches and hanging lights, creating a rich, historical ambiance.
