1.jpg,"This image displays a certificate for film certification issued by the Central Board of Film Certification of India, featuring a central board emblem and a seal with the inscription ""MINISTRY OF INFORMATION & BROADCASTING, GOVERNMENT OF INDIA"" at the top. The certificate bears the name ""DAJIRAO MASTANI"" and is certified ""U"" for all audiences. The certificate also includes a logo reading ""CBFC"" in the upper right corner and is dated November 12, 2018.

In the lower-right corner, there is a signature, and the certificate is signed by an official from the Central Board of Film Certification of India.

Overall, the certificate serves as official proof of the film's compliance with Indian censorship guidelines, indicating that it has been deemed suitable for public viewing."
1136.jpg,"The image shows a large group of people in a dark, possibly nighttime setting, lined up with multiple row of heavy cannons that appear to be on the verge of being fired. Each row of cannons has at least 2 men beside each cannon, holding torches and wearing traditional Indian military uniforms with helmets.

The cannons are dark-colored and appear to be made of metal, with two small fires burning atop each one, possibly representing flames. One torch on the left is bright orange and red, but the other torches are faint and appear as orange and yellow.

The men are mostly obscured by the shadows, but they appear to be dressed in old-fashioned clothing and headwear, possibly made from leather, fur, or woven textiles. They seem to be prepared for battle, but it is difficult to discern their facial expressions or emotions.

In the background, there are rolling mountains and a dark, cloudy sky that suggests the scene is set during either dawn or dusk. The overall atmosphere is tense and ominous, with the men's postures and the presence of the cannons suggesting that they are preparing for an intense confrontation."
1255.jpg,"This cinematic still depicts a battle scene with a warrior at the forefront, grasping a curved sword and a hilt with his right hand. He stands in front of a line of men, clad in helmets, armor, and chainmail shirts, each holding their own weapon, including a sword and shields with tall red flags. The warrior appears to be wearing a helmet and a tunic, while the men behind him are equipped with chainmail shirts, adding to the overall sense of tension and conflict.

The dark, hazy background suggests that this image is a still from an action-packed movie, capturing a dramatic moment of combat. The warrior's powerful stance and the men's defensive formation convey a sense of intensity, evoking the energy of a high-stakes battle scene."
1354.jpg,"The image shows a partial view of a man dressed in medieval attire, with his back to the camera. He is wearing a chainmail garment, a white glove on his right hand, and a helmet that is primarily white with a metallic appearance.

The background is a darkened, out-of-focus scene that suggests he is in a fortification, although it is not clear where this is. The mood of the image is serious and ominous, with a dark color palette."
1458.jpg,"A man in full armor stands in the center of the frame, with his helmet and armor adorned with intricate designs. He appears to be wearing a tunic underneath the armor, and his cape is draped over his shoulders. The armor has a brown color scheme, and his attire suggests that he is a soldier or warrior, although the image does not provide further context about his affiliation or role.

In the background, a crowd of people can be seen, but their faces are blurred, obscuring any distinguishing features. The atmosphere of the image suggests a serious and intense scene, possibly during a battle or a dramatic event."
1655.jpg,"This scene depicts an emotional moment between a woman and a man, captured in a warm embrace.

The woman, adorned in traditional Indian attire, has long dark hair and wears a stunning gold chain necklace and nose ring. Her arm is wrapped around the man's neck, conveying a sense of closeness and affection. In contrast, the man is partially obscured by the woman's head and arm, but his short dark hair and white shirt are visible."
1850.jpg,"A woman in a traditional Indian wedding dress is the central figure in this image. She is dressed in a white wedding dress with long sleeves, adorned with gold accents, and wears a white veil over her dark hair, styled in an updo. The dress features a long train and a high neckline, and she accessorizes with a large necklace.

She stands confidently in front of a decorative backdrop, with her hands held in a dynamic pose, as if she is mid-dance movement.

In the background, a stunning wall with intricate carvings and small candles adds to the ambiance. On either side of the woman, two large fountains of clear water create a dramatic effect, while the lighting is soft and warm, with gold accents that match the bride's wedding dress.

The overall atmosphere is festive and joyous, suggesting that this is a special occasion, possibly a wedding or celebration."
2058.jpg,"The image shows the close-up headshot of an adult man. He is facing the camera, with most of his face and shoulders visible. The man is very dark skinned with short, black hair, and a well-groomed beard. He is wearing an earpiece in his left ear. He has a serious expression. The image quality is dark, but there is a shadow of what appears to be another person to the right of him."
2296.jpg,"The image captures a scene from an Indian film, depicting a horse with a man riding it, dressed in traditional turbans and a sword at his side. The rider is wearing a red turban, accompanied by a smaller turban under it, and is attired in a beige and brown outfit, with a tan jacket and brown pants. He is riding a black horse with a yellow harness, and holds the reins in his left hand, while his right hand is down near his side. He wears a large, light-colored scarf, possibly white, draped over his shoulders and around his chest and neck, which appears to be a traditional garment worn by Indian men.

In the background, onlookers observe the scene from the side of a road. A small white building, a tree, and other individuals in the scene are also visible. The atmosphere suggests that this is a still from an Indian film, showcasing traditional attire and cultural context."
2447.jpg,"The image shows a man in armor facing a woman with her hands outstretched. The man is dressed in an intricately detailed patterned cloak with a cutout at the back of the neck. He has his back to the camera and is facing a woman, who is wearing a yellow and purple sari. 

There is a gold headband on the woman's forehead, and the scene is set in a room with a high, ornate ceiling, with candles providing soft, warm lighting. The overall atmosphere is one of luxury and elegance, with the ornate details of the setting and the characters' clothing suggesting a formal and ceremonial occasion."
2650.jpg,"A muscular, shirtless man is the central figure in this image, positioned centrally in a dimly lit, room with brown walls and three tall columns lining the wall. The man stands on a raised platform or dais, with his head slightly tilted to his right. His left hand is at his waist, while his right hand hangs down, fingers bent slightly towards his body. The platform has a stone or concrete floor, and a bowl rests on it. A lit candelabra is visible in the bottom right corner of the image.

The overall atmosphere of the image is mysterious and dramatic, with the dim lighting and the man's powerful physique creating a sense of intensity."
283.jpg,"A man wearing a white shirt stands in front of a wall with a partially obscured chandelier hanging in the background. He has a shaved head, and his white collared shirt has a small mandarin-style collar. 

The wall behind him is out of focus, and there are several lights reflecting off the wall, as well as what appear to be a circular object behind him, likely a white chandelier."
2880.jpg,"The image is a photograph of a woman in a white dress, kneeling on the floor and holding a long, white weapon against a wall in a doorway.

The woman wears a white long-sleeve dress and has dark hair pulled back. She holds a long, white weapon with a long handle across her body, in the air, in front of her.

There is a wall of intricate stone carvings to the left of the woman, with a large, ornate arch and two stone pillars to the left of the doorway. In front of the woman is a low, round, decorative table or bench, covered in a blue and red patterned material. 

On the right side of the doorway, there appears to be another, similar table with a purple and blue patterned cover. There are several light sources, but most of them appear to be candlelit, and their light sources appear dim."
3163.jpg,"The image depicts a woman seated on a throne in an ornate room, likely a palace or throne room. She is dressed in a long, black and gold gown, adorned with gold embroidery, and has a golden headdress that is being styled by another woman. The throne features intricate carvings and a gold seat, set against the backdrop of an opulent wall adorned with ornate gold decorations.

The room is dimly lit, with only a few gold chandeliers casting a warm, golden glow. The atmosphere is one of grandeur and luxury, with the woman's regal attire and the opulent surroundings evoking a sense of importance and power."
3337.jpg,"The image depicts an ornate, grandiose room featuring a group of women dressed in elegant gowns. The background showcases a majestic high ceiling, adorned with several large clocks, and a series of arches and columns that surround the women as they dance in the center of the room."
3541.jpg,"This image depicts a man dressed in traditional Indian attire, sitting in a room adorned with intricate furnishings. He is wearing a majestic red turban, complemented by a long-sleeved shirt and a flowing yellow outfit. His attire is further embellished with a golden sash and a delicate beaded necklace, adding a touch of elegance to his overall appearance. The man is seated in front of a wall featuring an ornate circular design, which is set against a backdrop of a room with a wooden floor and high ceilings."
3773.jpg,"The image presents a serene scene of a person in a white, floor-length dress kneeling on a vibrant red and gold rug, possibly engaged in a prayer or meditation session.

In the foreground, the individual's hands are clasped together, adorned with gold bangles and rings, while their arms are covered by a flowing white dress. The dress features a subtle sequin pattern and has been folded back to reveal the bangles on their left hand. A red, circular bag rests nearby, and a golden chain is visible beneath the red rug in the middle of the scene.

The background, out of focus, suggests a dimly lit room with a wooden wall and six soft, glowing orbs that may be lit candles. The overall atmosphere of the image conveys a sense of calm and contemplation."
3973.jpg,"A woman in dark attire, with a serious and contemplative expression, is the central figure in this dimly lit setting. The woman is dressed in a dark head covering and dark attire, with an ornament adorning her forehead, adding to the somber atmosphere. The background is indistinct, but the soft, muted light casts a gentle glow on the wall behind her, creating a sense of quiet reverence. The overall mood is one of solemnity and introspection, as if the woman is lost in thought."
4203.jpg,"This image depicts a still from a movie, featuring a man attired in a regal red and gold robe with gold trim, adorned with gold jewelry, and wearing a large gold crown and a long, flowing beard. He sits on a large ornate gold chair, set against a backdrop of gold-patterned wall coverings and candles in the background."
